"COL0","COL1"
"5350474.00",255.00
"5350475.00",545.00
"5350476.01",10.00
"5350476.02",80.00
"5350480.01",435.00
"5350480.02",2910.00
"5350481.01",2090.00
"5350481.02",375.00
"5350482.00",1350.00
"5350483.01",185.00
"5350483.02",245.00
"5350484.02",360.00
"5350484.03",315.00
"5350484.04",30.00
"5350485.01",1010.00
"5350485.02",330.00
"5350500.01",965.00
"5350500.02",1080.00
"5350501.01",1320.00
"5350501.02",2090.00
"5350502.01",1975.00
"5350502.02",620.00
"5350503.00",1690.00
"5350504.00",630.00
"5350505.01",960.00
"5350505.02",1530.00
"5350506.00",545.00
"5350507.00",680.00
"5350508.00",550.00
"5350509.01",1000.00
"5350509.02",485.00
"5350510.00",625.00
"5350511.01",3715.00
"5350511.02",1500.00
"5350512.00",2830.00
"5350513.01",2580.00
"5350513.02",3090.00
"5350513.03",1895.00
"5350513.04",1215.00
"5350514.01",1050.00
"5350514.02",3735.00
"5350515.01",950.00
"5350515.02",1070.00
"5350516.01",1955.00
"5350516.02",1830.00
"5350516.03",2000.00
"5350516.04",3280.00
"5350516.05",2155.00
"5350516.06",1695.00
"5350516.08",2770.00
"5350516.09",3040.00
"5350516.11",1655.00
"5350516.16",1945.00
"5350516.17",1535.00
"5350516.18",980.00
"5350516.2",2970.00
"5350516.21",1345.00
"5350516.22",3775.00
"5350516.23",3070.00
"5350516.24",1565.00
"5350516.25",1965.00
"5350516.26",4085.00
"5350516.28",3115.00
"5350516.29",3090.00
"5350516.3",4220.00
"5350516.31",1535.00
"5350516.32",2835.00
"5350516.37",3950.00
"5350516.38",5215.00
"5350516.39",3980.00
"5350516.4",3975.00
"5350516.41",4610.00
"5350516.42",6845.00
"5350516.43",3025.00
"5350516.44",3630.00
"5350516.46",6220.00
"5350516.47",3910.00
"5350516.48",5715.00
"5350516.49",7440.00
"5350517.00",645.00
"5350518.00",2285.00
"5350519.00",1975.00
"5350520.01",3985.00
"5350520.02",4985.00
"5350520.05",2410.00
"5350520.07",4160.00
"5350520.08",3980.00
"5350520.09",5320.00
"5350520.1",7485.00
"5350521.01",3790.00
"5350521.02",1295.00
"5350521.03",3495.00
