"COL0","COL1"
"4620053.00",745.00
"4620054.00",685.00
"4620055.01",2820.00
"4620055.02",460.00
"4620056.00",940.00
"4620057.00",730.00
"4620058.00",750.00
"4620059.00",830.00
"4620060.00",580.00
"4620061.00",395.00
"4620062.00",1510.00
"4620063.00",700.00
"4620064.00",1025.00
"4620065.01",4220.00
"4620065.02",2185.00
"4620066.01",1580.00
"4620066.02",1515.00
"4620067.00",810.00
"4620068.00",670.00
"4620069.01",1975.00
"4620069.02",910.00
"4620070.01",1290.00
"4620070.02",2035.00
"4620071.00",
"4620072.00",1790.00
"4620073.00",1115.00
"4620074.00",1695.00
"4620075.00",1425.00
"4620076.00",1575.00
"4620077.00",1370.00
"4620078.00",2045.00
"4620079.00",2565.00
"4620080.00",400.00
"4620081.00",2115.00
"4620082.00",1100.00
"4620083.00",1770.00
"4620084.00",1335.00
"4620085.00",340.00
"4620086.00",2095.00
"4620087.00",1580.00
"4620088.00",1850.00
"4620089.00",2410.00
"4620090.00",2150.00
"4620091.00",
"4620092.00",2800.00
"4620093.00",1540.00
"4620094.01",2960.00
"4620094.02",
"4620095.00",1065.00
"4620096.00",1085.00
"4620097.01",3300.00
"4620097.02",1965.00
"4620098.00",2245.00
"4620099.00",2625.00
"4620100.01",1850.00
"4620100.02",1425.00
"4620101.01",1825.00
"4620101.02",1555.00
"4620102.00",1985.00
"4620103.00",1105.00
"4620104.00",1125.00
"4620105.00",1550.00
"4620106.00",915.00
"4620107.00",800.00
"4620108.00",1630.00
"4620109.00",1055.00
"4620110.00",1950.00
"4620111.00",2835.00
"4620112.01",1750.00
"4620112.02",1855.00
"4620113.00",2140.00
"4620114.00",870.00
"4620115.01",860.00
"4620115.02",3420.00
"4620116.00",2980.00
"4620117.00",1505.00
"4620118.00",1575.00
"4620119.00",2395.00
"4620120.01",2685.00
"4620120.02",450.00
"4620121.00",690.00
"4620122.00",2950.00
"4620123.00",3125.00
"4620124.00",2590.00
"4620125.00",2615.00
"4620126.00",895.00
"4620127.01",3250.00
"4620127.02",
"4620128.00",1775.00
"4620129.01",2220.00
"4620129.02",2110.00
"4620130.00",2025.00
"4620131.00",2070.00
"4620132.00",3065.00
"4620133.00",1450.00
"4620134.00",615.00
"4620135.00",855.00
"4620136.00",1480.00
"4620137.00",630.00
"4620138.00",1030.00
"4620139.00",1650.00
"4620140.00",685.00
"4620141.00",800.00
"4620142.00",855.00
"4620143.00",1420.00
"4620144.00",2045.00
"4620145.00",
"4620146.00",1425.00
"4620147.00",1520.00
"4620148.00",470.00
"4620149.00",1760.00
"4620150.00",1375.00
"4620151.00",1125.00
"4620152.00",865.00
"4620153.00",430.00
"4620154.00",615.00
"4620155.00",1005.00
"4620156.00",1075.00
"4620157.00",1120.00
